Titre,Note,Prix,Moniteur_Taille_ecran_(pouces),Moniteur_Equivalence_(cm),Moniteur_Resolution_ecran_(pixels),Logiciels_Systeme_exploitation,Logiciels_Version_(Bits),Processeur_Reference,Memoire_vive_Capacite_totale_(Go),Memoire_vive_Type,Stockage_Capacite_disque_dur_(Go),Stockage_Port_disque_dur,Stockage_Vitesse_rotation(tours/min),Stockage_Capacite_SSD_(Go),Stockage_Port_SSD,Dimensions_l_x_h_x_p_(cm),Dimensions_Poids_(g),Carte_video
PC Gamer Asus SCAR-GL703GS-E5069T,5.0,1799.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,16.0,DDR4,1000.0,S-ATA,5400.0,256.0,PCI Express,2.5 x 41.8 x 28,2900.0,NVIDIA GeForce GTX1070 avec 8 Go GDDR5
Ordinateur Apple Macbook Pro 15p Touch Bar i7 256Go Gris S,4.5,2659.99,15.4,39.1,2880 x 1800,macOS High Sierra,64.0,"Intel Core i7 exacoeur à 2,2 GHz avec 9 Mo de cache N3 partagé",16.0,DDR4,,,,256.0,,34.93 x 1.55 x 24.07,1800.0,AMD Radeon Pro 555X avec 4 Go GDDR5
PC Gamer Acer Predator Helios 300 PH317-52-77LX,5.0,1399.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4,1000.0,,,128.0,,43.23 x 2.9 x 28.99,3000.0,NVIDIA GeForce GTX1060 avec 6 Go GDDR5
PC Gamer Asus TUF565GE-ES179T,3.0,1199.0,15.0,38.1,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4,1000.0,S-ATA,5400.0,128.0,PCI Express,2.6 x 36 x 26.2,2400.0,NVIDIA GeForce GTX1050 TI avec 4 Go GDDR5
Ordinateur portable Asus Vivobook S530FA-BQ099T,,999.0,15.0,38.1,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,DDR4,,,,512.0,SATA,1.8 x 36.1 x 24.3,1600.0,
Ordinateur portable Acer Swift SF515-51T-76YV,,1199.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,DDR4,,,,256.0,,6.5 x 49.8 x 31,990.0,
"Ordinateur portable Huawei Matebook X Pro 13.9"" touch I7 Argent",4.9,1499.99,13.9,35.3,3000 x 2000,Windows 10,64.0,Intel Core i7-8550U,8.0,LPDDR3,,,,512.0,NvMe PCI Express,30.4 x 1.46 x 21.7,1300.0,NVIDIA GeForce MX 150
PC Hybride Microsoft Surface Book 2 15''- i7 16Go 1TB,,3799.0,15.0,38.1,3240 x 2160,Windows 10 Pro,64.0,Intel Core i7-8650U,16.0,,,,,1000.0,,34.3 x 2.3 x 25.1,1900.0,NVIDIA GeForce GTX1060 avec 6 Go
Ordinateur portable Asus Zenbook UX392FN-AB006T,,1789.0,13.0,33.0,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,,,,512.0,PCI Express,1.4 x 31.6 x 19.5,1100.0,NVIDIA GeForce MX 150 avec 2 GO
Ordinateur portable Asus Vivobook S530FN-BQ185T,,1299.0,15.0,38.1,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,1000.0,S-ATA,5400.0,256.0,SATA,1.8 x 36.1 x 24.3,1600.0,NVIDIA GeForce MX 150 avec 2 GO
